id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600194,Pemerintah Kab. Cirebon,2.63,2.89,2.89
i2023110600193,Pemerintah Kab. Garut,2.04,2.61,3.26
i2023110600195,Pemerintah Kab. Indramayu,1.65,2.7,3.44
i2023110600191,Pemerintah Kab. Karawang,2.22,3.39,3.39
i2023110600031,Pemerintah Kab. Kuningan,2.25,2.11,2.11
i2023110600196,Pemerintah Kab. Majalengka,2.3,2.19,2.62
i2023110600402,Pemerintah Kab. Pangandaran,1.5,2.37,3.02
i2023110600027,Pemerintah Kab. Purwakarta,3,3.14,3.14
i2023110600192,Pemerintah Kab. Subang,2.03,3.01,3.01
i2023110600399,Pemerintah Kab. Sukabumi,2.54,2.31,2.37
i2023110600029,Pemerintah Kab. Sumedang,2.46,2.51,3.81
i2023110600401,Pemerintah Kab. Tasikmalaya,1.42,1.28,1.28
i2023110600032,Pemerintah Kota Bandung,3.11,3.72,3.72
i2023110600200,Pemerintah Kota Bekasi,2.43,3.43,3.43
i2023110600198,Pemerintah Kota Bogor,2.91,2.97,2.97
i2023110600202,Pemerintah Kota Cimahi,3.07,3.16,3.16
i2023110600199,Pemerintah Kota Cirebon,2.26,2.27,3.02
i2023110600201,Pemerintah Kota Depok,2.62,3.17,3.17
i2023110600033,Pemerintah Kota Sukabumi,2.33,2.48,2.72
i2023110600203,Pemerintah Kota Tasikmalaya,2.16,2.13,2.13
i2023110600214,Pemerintah Provinsi Jawa Tengah,3.67,3.85,3.85
i2023110600220,Pemerintah Kab. Banjarnegara,1.74,1.93,1.93
i2023110600408,Pemerintah Kab. Banyumas,2.63,2.65,3.09
i2023110600043,Pemerintah Kab. Batang,3.39,3.41,3.41
i2023110600407,Pemerintah Kab. Blora,2.07,2.65,2.62
i2023110600047,Pemerintah Kab. Boyolali,2.72,2.85,2.85
i2023110600404,Pemerintah Kab. Brebes,1.39,2.81,2.81
i2023110600218,Pemerintah Kab. Cilacap,2.14,2.43,3.13
i2023110600041,Pemerintah Kab. Demak,2.96,3.74,3.74
i2023110600216,Pemerintah Kab. Grobogan,2.11,3,3
i2023110600045,Pemerintah Kab. Jepara,2.64,2.41,2.85
i2023110600227,Pemerintah Kab. Karanganyar,2.04,2.99,2.99
i2023110600224,Pemerintah Kab. Kebumen,2.11,2.64,3.42
i2023110600040,Pemerintah Kab. Kendal,2.94,3.76,3.76
i2023110600225,Pemerintah Kab. Klaten,2.23,3,3
i2023110600406,Pemerintah Kab. Kudus,2.72,2.73,2.98
i2023110600221,Pemerintah Kab. Magelang,2.18,2.74,2.94
i2023110600405,Pemerintah Kab. Pati,2.27,3.22,3.22
i2023110600042,Pemerintah Kab. Pekalongan,1.49,2.24,3.04
i2023110600044,Pemerintah Kab. Pemalang,3.11,2.91,2.91
i2023110600219,Pemerintah Kab. Purbalingga,1.94,3.04,3.04
i2023110600223,Pemerintah Kab. Purworejo,2.04,2.96,2.96
i2023110600217,Pemerintah Kab. Rembang,2.35,2.78,3.11
i2023110600215,Pemerintah Kab. Semarang,2.66,3.02,3.02
i2023110600048,Pemerintah Kab. Sragen,2.75,2.75,3.35
i2023110600226,Pemerintah Kab. Sukoharjo,2.77,3.54,3.54
i2023110600403,Pemerintah Kab. Tegal,2.58,2.82,2.82
i2023110600222,Pemerintah Kab. Temanggung,1.77,2.82,2.82
i2023110600228,Pemerintah Kab. Wonogiri,1.97,2.51,2.79
