id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600369,Pemerintah Kab. Solok Selatan,1.9,1.74,1.74
i2023110600368,Pemerintah Kab. Tanah Datar,1.78,1.63,1.63
i2023110600154,Pemerintah Kota Bukittinggi,2.09,2.42,2.8
i2023110600157,Pemerintah Kota Padang,2.63,2.78,2.96
i2023110600155,Pemerintah Kota Padang Panjang,1.86,1.86,1.86
i2023110600159,Pemerintah Kota Pariaman,2.61,2.87,2.87
i2023110600158,Pemerintah Kota Payakumbuh,2.29,2.57,2.89
i2023110600156,Pemerintah Kota Sawahlunto,1.87,2.45,2.88
i2023110600371,Pemerintah Kota Solok,2.28,2.28,2.28
i2023110600160,Pemerintah Provinsi Jambi,1.79,1.61,1.61
i2023110600161,Pemerintah Kab. Batang Hari,2.22,2.6,2.6
i2023110600373,Pemerintah Kab. Bungo,1.15,1.15,1.15
i2023110600375,Pemerintah Kab. Kerinci,1.53,1.41,1.41
i2023110600374,Pemerintah Kab. Merangin,1.2,1.08,1.08
i2023110600162,Pemerintah Kab. Muaro Jambi,1.22,1.4,1.4
i2023110600376,Pemerintah Kab. Sarolangun,1.77,2.52,2.97
i2023110600372,Pemerintah Kab. Tanjung Jabung Barat,1.4,1.72,1.72
i2023110600378,Pemerintah Kab. Tanjung Jabung Timur,1.67,1.81,1.81
i2023110600377,Pemerintah Kab. Tebo,1.27,1.61,1.61
i2023110600163,Pemerintah Kota Jambi,2.22,2.85,2.85
i2023110600379,Pemerintah Kota Sungai Penuh,1.97,1.79,1.79
i2023110600023,Pemerintah Provinsi Sumatera Selatan,2.83,2.83,2.83
i2023110600168,Pemerintah Kab. Banyuasin,2.33,2.68,2.03
i2023110600170,Pemerintah Kab. Empat Lawang,1,1.6,1.6
i2023110600380,Pemerintah Kab. Lahat,1.15,2.03,2.03
i2023110600024,Pemerintah Kab. Muara Enim,2.57,3.14,3.14
i2023110600164,Pemerintah Kab. Musi Banyuasin,2.29,2.11,2.11
i2023110600166,Pemerintah Kab. Musi Rawas,1.6,2.3,2.79
i2023110600382,Pemerintah Kab. Musi Rawas Utara,1.3,1.3,1.3
i2023110600381,Pemerintah Kab. Ogan Ilir,1.18,1.21,1.21
i2023110600167,Pemerintah Kab. Ogan Komering Ilir,1.58,2.65,3.12
i2023110600165,Pemerintah Kab. Ogan Komering Ulu,1.81,2.67,2.94
i2023110600169,Pemerintah Kab. Ogan Komering Ulu Sel.,1.52,2.07,2.07
i2023110600542,Pemerintah Kab. Ogan Komering Ulu Timur,1.16,1.16,1.16
i2023110600173,Pemerintah Kab. Penukal Abab Lematang Ilir,1.2,1.2,1.2
i2023110600172,Pemerintah Kota Lubuk Linggau,1.99,1.97,1.97
i2023110600383,Pemerintah Kota Pagar Alam,1.22,1.76,1.76
i2023110600171,Pemerintah Kota Palembang,1.9,2.47,3.02
i2023110600025,Pemerintah Kota Prabumulih,1.57,1.72,1.72
i2023110600180,Pemerintah Provinsi Bengkulu,1.76,2.4,2.9
i2023110600387,Pemerintah Kab. Bengkulu Selatan,1.47,2.32,2.27
i2023110600391,Pemerintah Kab. Bengkulu Tengah,1.42,1.43,1.43
i2023110600386,Pemerintah Kab. Bengkulu Utara,1.17,1.82,1.82
i2023110600543,Pemerintah Kab. Kaur,1,1,1
i2023110600390,Pemerintah Kab. Kepahiang,1.15,2.03,2.03
i2023110600181,Pemerintah Kab. Mukomuko,1.54,1.54,1.54
i2023110600388,Pemerintah Kab. Rejang Lebong,1.66,1.66,1.66
i2023110600389,Pemerintah Kab. Seluma,1,1.19,1.19
i2023110600392,Pemerintah Kota Bengkulu,1.74,1.74,1.74
