id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600046,Pemerintah Kab. Wonosobo,2.94,2.94,2.94
i2023110600230,Pemerintah Kota Magelang,2.34,2.77,3.21
i2023110600229,Pemerintah Kota Pekalongan,2.95,3.14,3.14
i2023110600409,Pemerintah Kota Salatiga,1.66,3.08,3.08
i2023110600049,Pemerintah Kota Semarang,3.27,3.3,3.3
i2023110600050,Pemerintah Kota Surakarta,2.53,3.33,3.33
i2023110600410,Pemerintah Kota Tegal,2.33,2.54,3
i2023110600231,Pemerintah Provinsi Jawa Timur,2.92,3.1,3.1
i2023110600413,Pemerintah Kab. Bangkalan,1.99,1.82,1.82
i2023110600054,Pemerintah Kab. Banyuwangi,3.43,3.22,3.22
i2023110600056,Pemerintah Kab. Blitar,2.14,2.9,2.9
i2023110600418,Pemerintah Kab. Bojonegoro,2.52,2.97,2.97
i2023110600235,Pemerintah Kab. Bondowoso,1.86,2.38,2.74
i2023110600051,Pemerintah Kab. Gresik,2.56,3.14,3.14
i2023110600236,Pemerintah Kab. Jember,1.8,2.18,2.23
i2023110600052,Pemerintah Kab. Jombang,1.43,1.6,1.6
i2023110600239,Pemerintah Kab. Kediri,1.56,2.4,3.56
i2023110600058,Pemerintah Kab. Lamongan,3.11,3.4,3.4
i2023110600238,Pemerintah Kab. Lumajang,1.99,2.6,3.2
i2023110600240,Pemerintah Kab. Madiun,2.1,2.55,3.3
i2023110600241,Pemerintah Kab. Magetan,1.82,2.56,2.86
i2023110600414,Pemerintah Kab. Malang,1.94,1.85,1.85
i2023110600232,Pemerintah Kab. Mojokerto,1.74,1.55,1.55
i2023110600416,Pemerintah Kab. Nganjuk,2.16,2.22,2.62
i2023110600057,Pemerintah Kab. Ngawi,2.16,2.98,2.98
i2023110600243,Pemerintah Kab. Pacitan,1.56,1.77,1.77
i2023110600411,Pemerintah Kab. Pamekasan,2.31,2.22,3.01
i2023110600237,Pemerintah Kab. Pasuruan,2.42,2.39,3.03
i2023110600242,Pemerintah Kab. Ponorogo,1.66,3.05,3.05
i2023110600415,Pemerintah Kab. Probolinggo,2.15,2.85,2.85
i2023110600234,Pemerintah Kab. Sampang,1.38,1.81,1.81
i2023110600233,Pemerintah Kab. Sidoarjo,2.55,3.13,3.13
i2023110600053,Pemerintah Kab. Situbondo,3.24,3.48,3.48
i2023110600412,Pemerintah Kab. Sumenep,1.88,1.94,1.94
i2023110600417,Pemerintah Kab. Trenggalek,1.76,2.6,3.2
i2023110600244,Pemerintah Kab. Tuban,2.36,2.17,2.17
i2023110600055,Pemerintah Kab. Tulungagung,2.46,2.64,2.96
i2023110600421,Pemerintah Kota Batu,2.43,2.66,2.62
i2023110600060,Pemerintah Kota Blitar,1.52,2.71,3.31
i2023110600420,Pemerintah Kota Kediri,2.84,2.61,3.49
i2023110600248,Pemerintah Kota Madiun,3.16,2.82,2.82
i2023110600246,Pemerintah Kota Malang,2.44,2.85,2.85
i2023110600059,Pemerintah Kota Mojokerto,1.94,3.22,3.22
i2023110600419,Pemerintah Kota Pasuruan,2.38,2.31,2.47
i2023110600247,Pemerintah Kota Probolinggo,2.53,3.25,3.25
i2023110600245,Pemerintah Kota Surabaya,3.61,3.72,3.72
i2023110600210,Pemerintah D.I. Yogyakarta,3.33,3.43,3.43
i2023110600211,Pemerintah Kab. Bantul,1.84,3.36,3.36
i2023110600212,Pemerintah Kab. Gunungkidul,2.73,3.24,3.24
i2023110600039,Pemerintah Kab. Kulon Progo,2.69,2.92,2.92
i2023110600038,Pemerintah Kab. Sleman,3.13,2.91,2.91
i2023110600213,Pemerintah Kota Yogyakarta,2.96,3.37,3.37
