id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600130,Pemerintah Provinsi Sumatera Utara,3.21,4.3,2.4,2.27,3.69
i2023110600131,Pemerintah Kab. Deli Serdang,3.47,4,3.6,2.09,3.75
i2023110600132,Pemerintah Kab. Langkat,3.03,4.4,2.4,1.27,3.63
i2023110600351,Pemerintah Kab. Tapanuli Tengah,1.87,2.1,1.5,1.09,2.3
i2023110600532,Pemerintah Kab. Simalungun,2.32,2.3,1.5,1,3.26
i2023110600133,Pemerintah Kab. Labuhanbatu,2.94,2.6,2.8,2.73,3.19
i2023110600018,Pemerintah Kab. Tapanuli Selatan,2.69,4.3,1.6,1.18,3.38
i2023110600533,Pemerintah Kab. Nias,2.62,3,1.9,1,3.49
i2023110600355,Pemerintah Kab. Toba,2.16,2.5,2.2,1.09,2.42
i2023110600534,Pemerintah Kab. Nias Selatan,1.81,2.1,1.2,1,2.35
i2023110600356,Pemerintah Kab. Humbang Hasundutan,2.3,2.2,1.6,1,3.19
i2023110600134,Pemerintah Kab. Pakpak Bharat,2.41,1.3,1.8,1,3.57
i2023110600020,Pemerintah Kab. Samosir,2.69,2.5,2.3,1,3.57
i2023110600357,Pemerintah Kab. Serdang Bedagai,2.59,2.9,1.6,1,3.62
i2023110600535,Pemerintah Kab. Padang Lawas,2.02,2.2,1.3,1,2.73
i2023110600135,Pemerintah Kab. Padang Lawas Utara,1.98,1.4,1,1,3.05
i2023110600136,Pemerintah Kab. Batubara,2.34,2.9,1.5,1,3.12
i2023110600137,Pemerintah Kab. Labuhanbatu Selatan,1.94,1,1.1,1,3.01
i2023110600138,Pemerintah Kab. Labuhanbatu Utara,2.69,2.2,1.9,1,3.87
i2023110600536,Pemerintah Kab. Nias Barat,1.8,1,1,1,2.75
i2023110600537,Pemerintah Kab. Nias Utara,1.51,2.9,1,1,1.58
i2023110600139,Pemerintah Kota Medan,2.77,2.6,2.4,1.09,3.62
i2023110600358,Pemerintah Kota Tebing Tinggi,3.01,2.8,3.3,1,3.63
i2023110600140,Pemerintah Kota Binjai,2.98,3,2.9,1.09,3.69
i2023110600359,Pemerintah Kota Pematang Siantar,2.84,3.3,2.5,1,3.56
i2023110600141,Pemerintah Kota Tanjung Balai,2.8,2.5,2.3,2.09,3.42
i2023110600360,Pemerintah Kota Sibolga,2.24,2.6,1.6,1,2.94
i2023110600142,Pemerintah Kota Padangsidimpuan,2.49,3.1,2.1,1,3.06
i2023110600361,Pemerintah Kota Gunung Sitoli,2.13,3.1,1.4,1.09,2.63
i2023110600362,Pemerintah Provinsi Riau,3.01,3,2.4,1.36,3.93
i2023110600363,Pemerintah Kab. Kampar,2.96,2.8,2.7,2,3.51
i2023110600538,Pemerintah Kab. Bengkalis,2.7,2.8,1.8,1.64,3.54
i2023110600021,Pemerintah Kab. Indragiri Hulu,2.88,3,2.2,1,3.89
i2023110600539,Pemerintah Kab. Indragiri Hilir,2.23,1.8,1.5,1,3.2
i2023110600143,Pemerintah Kab. Pelalawan,2.27,1.6,1.4,1,3.39
i2023110600144,Pemerintah Kab. Rokan Hulu,2.64,3.6,1.9,1,3.36
i2023110600540,Pemerintah Kab. Rokan Hilir,2.5,1.9,1.9,1,3.55
i2023110600364,Pemerintah Kab. Siak,3.01,3.4,2.2,1.36,3.93
i2023110600022,Pemerintah Kab. Kuantan Singingi,2.96,3.3,2.6,1.09,3.75
i2023110600365,Pemerintah Kab. Kepulauan Meranti,2.74,2.9,2.3,1.36,3.45
i2023110600366,Pemerintah Kota Pekanbaru,3.42,5,3,1.73,3.8
i2023110600145,Pemerintah Kota Dumai,3.43,3.1,3.1,2.73,3.96
i2023110600306,Pemerintah Provinsi Kepulauan Riau,2.68,3.1,1.8,1.09,3.62
i2023110600307,Pemerintah Kab. Bintan,3.39,4,3.5,2.09,3.62
i2023110600615,Pemerintah Kab. Karimun,2.01,2.5,1.2,1,2.67
i2023110600500,Pemerintah Kab. Natuna,3.19,4,2.9,2.45,3.37
i2023110600616,Pemerintah Kab. Lingga,2.53,2.9,1.8,1,3.37
