id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600202,Pemerintah Kota Cimahi,4.02,4.1,4,3,4.38
i2023110600203,Pemerintah Kota Tasikmalaya,3.25,4.2,2.7,2.09,3.69
i2023110600034,Pemerintah Kota Banjar,3,3.2,2.4,1.36,3.87
i2023110600204,Pemerintah Provinsi Banten,3.39,3,3.1,2.45,4
i2023110600205,Pemerintah Kab. Serang,3.23,4.2,3.1,1.73,3.57
i2023110600206,Pemerintah Kab. Pandeglang,3.14,2.9,2.3,2.55,3.88
i2023110600207,Pemerintah Kab. Lebak,3.22,5,2.8,1.82,3.45
i2023110600035,Pemerintah Kab. Tangerang,3.37,3.6,3,2.27,3.9
i2023110600036,Pemerintah Kota Tangerang,2.97,2.7,2.7,1.91,3.58
i2023110600037,Pemerintah Kota Cilegon,2.3,2.9,1.6,1.18,2.92
i2023110600208,Pemerintah Kota Serang,2.6,2.2,1.8,1.09,3.7
i2023110600209,Pemerintah Kota Tangerang Selatan,3.18,2.5,3.3,1.36,3.96
i2023110600210,Pemerintah D.I. Yogyakarta,4.22,4.8,4.2,3.36,4.38
i2023110600211,Pemerintah Kab. Bantul,3.72,4.9,3.3,2.73,3.97
i2023110600038,Pemerintah Kab. Sleman,4.29,4.6,4.1,3.18,4.7
i2023110600212,Pemerintah Kab. Gunungkidul,2.84,3.1,1.9,1,3.96
i2023110600039,Pemerintah Kab. Kulon Progo,4.08,4.2,4.3,3.55,4.13
i2023110600213,Pemerintah Kota Yogyakarta,3.41,2.3,2.5,2.64,4.5
i2023110600214,Pemerintah Provinsi Jawa Tengah,4.26,4.8,3.9,3.36,4.63
i2023110600215,Pemerintah Kab. Semarang,3.26,4.8,2.7,1.91,3.62
i2023110600040,Pemerintah Kab. Kendal,2.95,2.8,2.2,2.18,3.69
i2023110600041,Pemerintah Kab. Demak,3.62,3.6,3.2,2.82,4.14
i2023110600216,Pemerintah Kab. Grobogan,3.37,2.7,3.4,1.55,4.2
i2023110600042,Pemerintah Kab. Pekalongan,2.86,2.6,2.3,1.64,3.69
i2023110600043,Pemerintah Kab. Batang,3.53,3,2.9,1.73,4.69
i2023110600403,Pemerintah Kab. Tegal,3.07,3.3,2.5,1.73,3.81
i2023110600404,Pemerintah Kab. Brebes,2.83,2.7,1.9,1.45,3.88
i2023110600405,Pemerintah Kab. Pati,3.74,4.6,4,1.91,4.01
i2023110600406,Pemerintah Kab. Kudus,4.23,4.6,4.4,2.73,4.57
i2023110600044,Pemerintah Kab. Pemalang,2.94,2,1.9,1.91,4.14
i2023110600045,Pemerintah Kab. Jepara,3.63,3.9,3.4,2.73,4.01
i2023110600217,Pemerintah Kab. Rembang,3.64,4.5,3.1,2.36,4.14
i2023110600407,Pemerintah Kab. Blora,3.27,3.6,2.3,1.73,4.26
i2023110600408,Pemerintah Kab. Banyumas,3.39,4.2,2.9,1.82,4.01
i2023110600218,Pemerintah Kab. Cilacap,3.46,4,3.1,1.91,4.07
i2023110600219,Pemerintah Kab. Purbalingga,3.83,4,3.8,3.09,4.07
i2023110600220,Pemerintah Kab. Banjarnegara,3.29,4.4,2.7,1.18,4.07
i2023110600221,Pemerintah Kab. Magelang,3.13,3.1,2.6,1.18,4.13
i2023110600222,Pemerintah Kab. Temanggung,2.8,3.3,2.2,1,2.8
i2023110600046,Pemerintah Kab. Wonosobo,3.54,3,3.1,3.18,3.54
i2023110600223,Pemerintah Kab. Purworejo,3.19,3,3.1,1.91,3.19
i2023110600224,Pemerintah Kab. Kebumen,3.7,3.9,3.2,2.27,3.7
i2023110600225,Pemerintah Kab. Klaten,3.7,4.5,3.4,2.18,3.7
i2023110600047,Pemerintah Kab. Boyolali,3.65,4.2,3.1,2,3.65
i2023110600048,Pemerintah Kab. Sragen,4.26,4.9,3.4,3,4.26
i2023110600226,Pemerintah Kab. Sukoharjo,4.35,4.6,3.9,3.55,4.35
i2023110600227,Pemerintah Kab. Karanganyar,3.52,4.5,3.3,1.91,3.52
i2023110600228,Pemerintah Kab. Wonogiri,3.94,3.4,3.6,2.64,3.94
i2023110600049,Pemerintah Kota Semarang,3.89,5,3.8,3.73,3.89
i2023110600409,Pemerintah Kota Salatiga,3.26,2.9,3.2,1.73,3.26
