id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600229,Pemerintah Kota Pekalongan,3.29,3.5,3.2,1.82,3.29
i2023110600410,Pemerintah Kota Tegal,3.76,4.6,3.6,2.64,4.02
i2023110600230,Pemerintah Kota Magelang,3.36,2.8,2.7,3,4.01
i2023110600050,Pemerintah Kota Surakarta,3.74,4.8,3.2,2.27,4.27
i2023110600231,Pemerintah Provinsi Jawa Timur,3.62,3.1,3.1,1.36,4.88
i2023110600051,Pemerintah Kab. Gresik,4.28,5,3.9,2.82,4.82
i2023110600232,Pemerintah Kab. Mojokerto,3.52,4.2,3.6,2.09,3.8
i2023110600233,Pemerintah Kab. Sidoarjo,3.11,3.2,2.4,1.64,4.01
i2023110600052,Pemerintah Kab. Jombang,3.49,4.2,3.3,2.82,3.63
i2023110600234,Pemerintah Kab. Sampang,3.57,5,3.3,1.45,4.07
i2023110600411,Pemerintah Kab. Pamekasan,2.89,2.5,2.7,1.45,3.63
i2023110600412,Pemerintah Kab. Sumenep,3.18,3.3,2.6,2.18,3.82
i2023110600413,Pemerintah Kab. Bangkalan,2.63,2.6,2,1.36,3.45
i2023110600235,Pemerintah Kab. Bondowoso,2.9,3.1,3.1,2,3.05
i2023110600053,Pemerintah Kab. Situbondo,4.17,4,4.4,3.18,4.45
i2023110600054,Pemerintah Kab. Banyuwangi,4.5,4.7,4.2,3.91,4.82
i2023110600236,Pemerintah Kab. Jember,2.56,2.1,2.2,1.73,3.19
i2023110600414,Pemerintah Kab. Malang,3.36,3.1,2.7,2.27,4.2
i2023110600237,Pemerintah Kab. Pasuruan,2.47,3.3,1.6,1.18,3.19
i2023110600415,Pemerintah Kab. Probolinggo,3.33,3,2.9,2,4.15
i2023110600238,Pemerintah Kab. Lumajang,2.93,1.6,2,1.36,4.38
i2023110600239,Pemerintah Kab. Kediri,4.27,5,4,3.09,4.63
i2023110600055,Pemerintah Kab. Tulungagung,3.09,2.9,2.7,1.45,3.95
i2023110600416,Pemerintah Kab. Nganjuk,3.62,4.2,3.2,2.55,4.07
i2023110600417,Pemerintah Kab. Trenggalek,4.21,4.9,3.9,3.82,4.32
i2023110600056,Pemerintah Kab. Blitar,3.63,3.2,3.6,2.82,3.07
i2023110600240,Pemerintah Kab. Madiun,4.3,5,4,3.27,4.63
i2023110600057,Pemerintah Kab. Ngawi,3.23,4.6,2.6,2,3.63
i2023110600241,Pemerintah Kab. Magetan,2.76,1.7,2.1,1.18,4.01
i2023110600242,Pemerintah Kab. Ponorogo,2.94,2.4,2.5,1.27,3.94
i2023110600243,Pemerintah Kab. Pacitan,3.34,4.6,2.9,1.18,4.01
