id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600311,Pemerintah Kab. Manokwari,1.91,2.41,2.41
i2023110600503,Pemerintah Kab. Manokwari Selatan,1.28,1.28,1.28
i2023110600510,Pemerintah Kab. Raja Ampat,1,1,1
i2023110600502,Pemerintah Kab. Sorong,1.8,1.87,1.87
i2023110600692,Pemerintah Kab. Teluk Bintuni,1.38,1.38,1.38
i2023110600511,Pemerintah Kab. Teluk Wondama,1.05,1.05,1.05
i2023110600504,Pemerintah Kota Sorong,1.41,1.41,1.41
i2023110600516,Pemerintah Provinsi Papua,2.24,2.24,2.24
i2023110600498,Pemerintah Kab. Biak Numfor,1.37,1.37,1.37
i2023110600607,Pemerintah Kab. Boven Digoel,1.73,1.73,1.73
i2023110600517,Pemerintah Kab. Jayapura,2.03,1.28,1.28
i2023110600499,Pemerintah Kab. Keerom,1.01,1.69,1.69
i2023110600608,Pemerintah Kab. Mappi,1,1,1
i2023110600606,Pemerintah Kab. Mimika,1.25,1.25,1.25
i2023110600604,Pemerintah Kab. Nabire,1.69,1.51,1.51
i2023110600693,Pemerintah Kab. Sarmi,1,1,1
i2023110600611,Pemerintah Kab. Supiori,1.02,1.02,1.02
i2023110600305,Pemerintah Kota Jayapura,1.41,1.28,1.28
