id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600026,Pemerintah Provinsi Lampung,1.29,2.45,2.78
i2023110600184,Pemerintah Kab. Lampung Barat,2.45,2.45,2.45
i2023110600544,Pemerintah Kab. Lampung Selatan,1.48,1.41,1.41
i2023110600393,Pemerintah Kab. Lampung Tengah,1.15,1.23,1.23
i2023110600546,Pemerintah Kab. Lampung Timur,1.26,1.34,1.34
i2023110600183,Pemerintah Kab. Lampung Utara,1.36,1.18,1.18
i2023110600396,Pemerintah Kab. Mesuji,1.3,1.3,1.3
i2023110600547,Pemerintah Kab. Pesawaran,1.4,1.22,1.22
i2023110600548,Pemerintah Kab. Pesisir Barat,1.56,2.14,2.14
i2023110600186,Pemerintah Kab. Pringsewu,2.29,2.18,2.93
i2023110600394,Pemerintah Kab. Tanggamus,1.37,1.37,1.37
i2023110600545,Pemerintah Kab. Tulang Bawang,1.56,1.52,1.52
i2023110600395,Pemerintah Kab. Tulang Bawang Barat,1.68,1.68,1.68
i2023110600185,Pemerintah Kab. Way Kanan,1.99,2.52,2.05
i2023110600398,Pemerintah Kota Bandar Lampung,1.26,1.26,1.26
i2023110600397,Pemerintah Kota Metro,2.33,2.17,2.17
i2023110600306,Pemerintah Provinsi Kepulauan Riau,2.14,2.73,2.8
i2023110600307,Pemerintah Kab. Bintan,2.04,2.28,2.42
i2023110600615,Pemerintah Kab. Karimun,1.7,1.7,1.7
i2023110600308,Pemerintah Kab. Kepulauan Anambas,2.5,2.5,2.5
i2023110600616,Pemerintah Kab. Lingga,1.36,1.36,1.36
i2023110600500,Pemerintah Kab. Natuna,2.43,2.71,2.71
i2023110600309,Pemerintah Kota Batam,2.26,2.23,3.11
i2023110600310,Pemerintah Kota Tanjungpinang,2.06,2.04,2.04
i2023110600174,Pemerintah Provinsi Kep. Bangka Belitung,3.05,3.05,3.16
i2023110600384,Pemerintah Kab. Bangka,2.33,2.46,2.77
i2023110600385,Pemerintah Kab. Bangka Barat,2.31,2.31,2.31
i2023110600177,Pemerintah Kab. Bangka Selatan,1.65,2.62,3.22
i2023110600176,Pemerintah Kab. Bangka Tengah,1.94,1.88,1.88
i2023110600175,Pemerintah Kab. Belitung,1.69,2.79,3.07
i2023110600178,Pemerintah Kab. Belitung Timur,2.08,2.59,3.15
i2023110600179,Pemerintah Kota Pangkal Pinang,1.35,1.35,1.35
i2023110600204,Pemerintah Provinsi Banten,2.01,1.83,1.83
i2023110600207,Pemerintah Kab. Lebak,2.94,3.52,3.52
i2023110600206,Pemerintah Kab. Pandeglang,3.26,3.07,3.07
i2023110600205,Pemerintah Kab. Serang,2.33,2.43,2.43
i2023110600035,Pemerintah Kab. Tangerang,3.08,2.98,2.98
i2023110600037,Pemerintah Kota Cilegon,3.23,3.23,3.23
i2023110600208,Pemerintah Kota Serang,2.41,2.41,2.41
i2023110600036,Pemerintah Kota Tangerang,3.16,3.44,3.44
i2023110600209,Pemerintah Kota Tangerang Selatan,3.29,3.21,3.21
i2023110600187,Pemerintah Provinsi DKI Jakarta,3.19,3.23,3.23
i2023110600188,Pemerintah Provinsi Jawa Barat,3.21,3.12,3.12
i2023110600028,Pemerintah Kab. Bandung,2.72,2.85,2.85
i2023110600197,Pemerintah Kab. Bandung Barat,2.54,2.41,3.17
i2023110600400,Pemerintah Kab. Bekasi,2.27,2.17,2.17
i2023110600189,Pemerintah Kab. Bogor,2.58,2.58,3.27
i2023110600030,Pemerintah Kab. Ciamis,1.44,2.35,2.64
i2023110600190,Pemerintah Kab. Cianjur,2.19,2.75,3.19
