id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600383,Pemerintah Kota Pagar Alam,2.14,2.8,1.2,1.64,2.65
i2023110600172,Pemerintah Kota Lubuk Linggau,2.86,2.86,3.1,1.82,3.37
i2023110600025,Pemerintah Kota Prabumulih,3.35,3.35,3.1,3,3.63
i2023110600173,Pemerintah Kab. Penukal Abab Lematang Ilir,2.45,2.45,2.3,2.64,2.51
i2023110600174,Pemerintah Provinsi Kep. Bangka Belitung,3.14,4.9,3.1,2.27,2.97
i2023110600384,Pemerintah Kab. Bangka,2.44,2.7,1.2,1,3.57
i2023110600175,Pemerintah Kab. Belitung,3.11,3.2,2.2,2.27,3.88
i2023110600385,Pemerintah Kab. Bangka Barat,2.61,3.5,2.2,1.09,3.13
i2023110600176,Pemerintah Kab. Bangka Tengah,3.72,4.5,3.4,2.45,4.13
i2023110600177,Pemerintah Kab. Bangka Selatan,3.44,4,3.2,2.45,3.76
i2023110600178,Pemerintah Kab. Belitung Timur,3.56,3.3,3.5,2.45,4.07
i2023110600179,Pemerintah Kota Pangkal Pinang,2.87,3.1,2.6,1,3.62
i2023110600180,Pemerintah Provinsi Bengkulu,3.12,3.8,2.4,1.55,3.88
i2023110600386,Pemerintah Kab. Bengkulu Utara,2.9,2.3,2.1,1.55,4.01
i2023110600387,Pemerintah Kab. Bengkulu Selatan,2.45,3.1,1.3,1,3.43
i2023110600388,Pemerintah Kab. Rejang Lebong,3.23,4.9,2.7,1.82,3.56
i2023110600543,Pemerintah Kab. Kaur,2.24,3.1,1.2,1,3.01
i2023110600389,Pemerintah Kab. Seluma,2.54,2.5,1.7,1,3.58
i2023110600181,Pemerintah Kab. Mukomuko,2.07,2.3,1.3,1.09,2.79
i2023110600390,Pemerintah Kab. Kepahiang,2.28,2.8,1.4,1,3.08
i2023110600182,Pemerintah Kab. Lebong,2.93,3,2.6,1.45,3.63
i2023110600391,Pemerintah Kab. Bengkulu Tengah,2.55,1.3,2.3,1.27,3.5
i2023110600392,Pemerintah Kota Bengkulu,2.61,2.8,2.1,1.09,3.38
i2023110600026,Pemerintah Provinsi Lampung,3.81,3,3.9,2.73,4.38
i2023110600544,Pemerintah Kab. Lampung Selatan,2.74,3,2,1.27,3.61
i2023110600393,Pemerintah Kab. Lampung Tengah,2.68,2.4,2.2,1,3.63
i2023110600183,Pemerintah Kab. Lampung Utara,2.7,3,2.1,1.18,3.5
i2023110600184,Pemerintah Kab. Lampung Barat,2.76,3,2.2,1.36,3.49
i2023110600545,Pemerintah Kab. Tulang Bawang,2.55,3,2,1.09,3.25
i2023110600394,Pemerintah Kab. Tanggamus,2.6,2.9,2.1,1.55,3.18
i2023110600185,Pemerintah Kab. Way Kanan,3.08,3,2.5,2.36,3.68
i2023110600546,Pemerintah Kab. Lampung Timur,2.27,3,1.4,1,3
i2023110600547,Pemerintah Kab. Pesawaran,2.91,3.7,2.4,1.27,3.56
i2023110600395,Pemerintah Kab. Tulang Bawang Barat,2.27,2.4,1.8,1,2.96
i2023110600186,Pemerintah Kab. Pringsewu,2.97,3,2.1,2.09,3.75
i2023110600396,Pemerintah Kab. Mesuji,3.57,5,3.8,2.09,3.56
i2023110600548,Pemerintah Kab. Pesisir Barat,2.32,2.7,1.7,1.27,2.93
i2023110600397,Pemerintah Kota Metro,3.04,2.5,2.5,2,3.87
i2023110600398,Pemerintah Kota Bandar Lampung,2.15,1.4,1.7,1,3.04
i2023110600187,Pemerintah Provinsi DKI Jakarta,4.21,4.5,3.7,2.55,5
i2023110600188,Pemerintah Provinsi Jawa Barat,4.14,4.7,4,2.91,4.51
i2023110600189,Pemerintah Kab. Bogor,3.71,3.7,3.2,2.45,4.45
i2023110600399,Pemerintah Kab. Sukabumi,3.08,3.5,2.3,1.73,3.88
i2023110600190,Pemerintah Kab. Cianjur,3.05,3.8,2.2,1.27,3.95
i2023110600400,Pemerintah Kab. Bekasi,3.28,3.5,2.7,2.27,3.89
i2023110600191,Pemerintah Kab. Karawang,4.38,5,4.2,3.27,4.7
i2023110600027,Pemerintah Kab. Purwakarta,2.99,2.9,2.2,1.45,4
