id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600017,Pemerintah Aceh,3.62,4.7,3.7,1.91,3.88
i2023110600522,Pemerintah Kab. Aceh Besar,1.88,1,1.1,1,2.87
i2023110600523,Pemerintah Kab. Pidie,2.04,1.1,1.4,1,3.04
i2023110600524,Pemerintah Kab. Aceh Utara,1.7,1,1,1,2.54
i2023110600338,Pemerintah Kab. Aceh Timur,2.3,2.5,1.2,1,3.31
i2023110600525,Pemerintah Kab. Aceh Selatan,1.92,2.2,1.1,1,2.63
i2023110600339,Pemerintah Kab. Aceh Barat,2.65,3.1,1.7,1.18,3.57
i2023110600526,Pemerintah Kab. Aceh Tengah,1.88,2.2,1.4,1,2.37
i2023110600527,Pemerintah Kab. Aceh Tenggara,1.74,1,1,1,2.62
i2023110600340,Pemerintah Kab. Simeulue,1.86,1.6,1.3,1,2.54
i2023110600341,Pemerintah Kab. Bireuen,2.12,1,1.1,1.09,3.37
i2023110600342,Pemerintah Kab. Aceh Singkil,1.95,1.8,1.1,1,2.81
i2023110600528,Pemerintah Kab. Aceh Barat Daya,2.61,2.9,1.5,1.09,3.68
i2023110600529,Pemerintah Kab. Gayo Lues,2.47,3,1.1,1.09,3.56
i2023110600343,Pemerintah Kab. Aceh Tamiang,2.81,2.6,1.9,1.91,3.69
i2023110600344,Pemerintah Kab. Nagan Raya,2.62,2.8,1.7,1.45,3.51
i2023110600530,Pemerintah Kab. Aceh Jaya,2.42,2.8,1.3,1,3.43
i2023110600345,Pemerintah Kab. Bener Meriah,2.61,2.7,1.7,1.45,3.5
i2023110600531,Pemerintah Kab. Pidie Jaya,2.63,2.4,1.3,1,4.02
i2023110600346,Pemerintah Kota Sabang,2.44,3,1.1,1,3.54
i2023110600129,Pemerintah Kota Banda Aceh,3.54,5,3,2.09,3.94
i2023110600347,Pemerintah Kota Langsa,1.84,1.6,1.1,1,2.61
i2023110600348,Pemerintah Kota Lhokseumawe,2.34,1.6,1.5,1,3.51
i2023110600349,Pemerintah Kota Subulussalam,2.11,3,1.1,1,2.8
i2023110600130,Pemerintah Provinsi Sumatera Utara,3.21,4.3,2.4,2.27,3.69
i2023110600131,Pemerintah Kab. Deli Serdang,3.47,4,3.6,2.09,3.75
i2023110600350,Pemerintah Kab. Karo,2.57,3,1.7,1,3.49
i2023110600132,Pemerintah Kab. Langkat,3.03,4.4,2.4,1.27,3.63
i2023110600351,Pemerintah Kab. Tapanuli Tengah,1.87,2.1,1.5,1.09,2.3
i2023110600532,Pemerintah Kab. Simalungun,2.32,2.3,1.5,1,3.26
i2023110600133,Pemerintah Kab. Labuhanbatu,2.94,2.6,2.8,2.73,3.19
i2023110600352,Pemerintah Kab. Dairi,2.67,2.8,1.7,1,3.77
i2023110600353,Pemerintah Kab. Tapanuli Utara,2.69,2.8,2.6,1.73,3.06
i2023110600018,Pemerintah Kab. Tapanuli Selatan,2.69,4.3,1.6,1.18,3.38
i2023110600354,Pemerintah Kab. Asahan,1.97,2.4,1.1,1.27,2.58
i2023110600533,Pemerintah Kab. Nias,2.62,3,1.9,1,3.49
i2023110600355,Pemerintah Kab. Toba,2.16,2.5,2.2,1.09,2.42
i2023110600019,Pemerintah Kab. Mandailing Natal,2.83,3,1.9,1.18,3.88
i2023110600534,Pemerintah Kab. Nias Selatan,1.81,2.1,1.2,1,2.35
i2023110600356,Pemerintah Kab. Humbang Hasundutan,2.3,2.2,1.6,1,3.19
i2023110600134,Pemerintah Kab. Pakpak Bharat,2.41,1.3,1.8,1,3.57
i2023110600020,Pemerintah Kab. Samosir,2.69,2.5,2.3,1,3.57
i2023110600357,Pemerintah Kab. Serdang Bedagai,2.59,2.9,1.6,1,3.62
i2023110600535,Pemerintah Kab. Padang Lawas,2.02,2.2,1.3,1,2.73
i2023110600135,Pemerintah Kab. Padang Lawas Utara,1.98,1.4,1,1,3.05
i2023110600136,Pemerintah Kab. Batubara,2.34,2.9,1.5,1,3.12
i2023110600130,Pemerintah Provinsi Sumatera Utara,3.21,4.3,2.4,2.27,3.69
i2023110600131,Pemerintah Kab. Deli Serdang,3.47,4,3.6,2.09,3.75
i2023110600132,Pemerintah Kab. Langkat,3.03,4.4,2.4,1.27,3.63
i2023110600351,Pemerintah Kab. Tapanuli Tengah,1.87,2.1,1.5,1.09,2.3
i2023110600532,Pemerintah Kab. Simalungun,2.32,2.3,1.5,1,3.26
i2023110600133,Pemerintah Kab. Labuhanbatu,2.94,2.6,2.8,2.73,3.19
i2023110600018,Pemerintah Kab. Tapanuli Selatan,2.69,4.3,1.6,1.18,3.38
i2023110600533,Pemerintah Kab. Nias,2.62,3,1.9,1,3.49
i2023110600355,Pemerintah Kab. Toba,2.16,2.5,2.2,1.09,2.42
i2023110600534,Pemerintah Kab. Nias Selatan,1.81,2.1,1.2,1,2.35
i2023110600356,Pemerintah Kab. Humbang Hasundutan,2.3,2.2,1.6,1,3.19
i2023110600134,Pemerintah Kab. Pakpak Bharat,2.41,1.3,1.8,1,3.57
i2023110600020,Pemerintah Kab. Samosir,2.69,2.5,2.3,1,3.57
i2023110600357,Pemerintah Kab. Serdang Bedagai,2.59,2.9,1.6,1,3.62
i2023110600535,Pemerintah Kab. Padang Lawas,2.02,2.2,1.3,1,2.73
i2023110600135,Pemerintah Kab. Padang Lawas Utara,1.98,1.4,1,1,3.05
i2023110600136,Pemerintah Kab. Batubara,2.34,2.9,1.5,1,3.12
i2023110600137,Pemerintah Kab. Labuhanbatu Selatan,1.94,1,1.1,1,3.01
i2023110600138,Pemerintah Kab. Labuhanbatu Utara,2.69,2.2,1.9,1,3.87
i2023110600536,Pemerintah Kab. Nias Barat,1.8,1,1,1,2.75
i2023110600537,Pemerintah Kab. Nias Utara,1.51,2.9,1,1,1.58
i2023110600139,Pemerintah Kota Medan,2.77,2.6,2.4,1.09,3.62
i2023110600358,Pemerintah Kota Tebing Tinggi,3.01,2.8,3.3,1,3.63
i2023110600140,Pemerintah Kota Binjai,2.98,3,2.9,1.09,3.69
i2023110600359,Pemerintah Kota Pematang Siantar,2.84,3.3,2.5,1,3.56
i2023110600141,Pemerintah Kota Tanjung Balai,2.8,2.5,2.3,2.09,3.42
i2023110600360,Pemerintah Kota Sibolga,2.24,2.6,1.6,1,2.94
