id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600142,Pemerintah Kota Padangsidimpuan,2.49,3.1,2.1,1,3.06
i2023110600361,Pemerintah Kota Gunung Sitoli,2.13,3.1,1.4,1.09,2.63
i2023110600362,Pemerintah Provinsi Riau,3.01,3,2.4,1.36,3.93
i2023110600363,Pemerintah Kab. Kampar,2.96,2.8,2.7,2,3.51
i2023110600538,Pemerintah Kab. Bengkalis,2.7,2.8,1.8,1.64,3.54
i2023110600021,Pemerintah Kab. Indragiri Hulu,2.88,3,2.2,1,3.89
i2023110600539,Pemerintah Kab. Indragiri Hilir,2.23,1.8,1.5,1,3.2
i2023110600143,Pemerintah Kab. Pelalawan,2.27,1.6,1.4,1,3.39
i2023110600144,Pemerintah Kab. Rokan Hulu,2.64,3.6,1.9,1,3.36
i2023110600540,Pemerintah Kab. Rokan Hilir,2.5,1.9,1.9,1,3.55
i2023110600364,Pemerintah Kab. Siak,3.01,3.4,2.2,1.36,3.93
i2023110600022,Pemerintah Kab. Kuantan Singingi,2.96,3.3,2.6,1.09,3.75
i2023110600365,Pemerintah Kab. Kepulauan Meranti,2.74,2.9,2.3,1.36,3.45
i2023110600366,Pemerintah Kota Pekanbaru,3.42,5,3,1.73,3.8
i2023110600145,Pemerintah Kota Dumai,3.43,3.1,3.1,2.73,3.96
i2023110600306,Pemerintah Provinsi Kepulauan Riau,2.68,3.1,1.8,1.09,3.62
i2023110600307,Pemerintah Kab. Bintan,3.39,4,3.5,2.09,3.62
i2023110600615,Pemerintah Kab. Karimun,2.01,2.5,1.2,1,2.67
i2023110600500,Pemerintah Kab. Natuna,3.19,4,2.9,2.45,3.37
i2023110600616,Pemerintah Kab. Lingga,2.53,2.9,1.8,1,3.37
i2023110600308,Pemerintah Kab. Kepulauan Anambas,2.51,1.5,2.5,1.64,3.11
i2023110600309,Pemerintah Kota Batam,3.77,3.6,3.6,2.64,4.32
i2023110600310,Pemerintah Kota Tanjungpinang,2.81,2.6,1.9,1.18,3.95
