"i2023110600080","Badan Pengawas Tenaga Nuklir","gi2023110400004"
"i2023110600081","Badan Pengawas Obat dan Makanan","gi2023110400004"
"i2023110600082","Lembaga Ketahanan Nasional RI","gi2023110400004"
"i2023110600083","Badan Narkotika Nasional","gi2023110400004"
"i2023110600084","Badan Nasional Penanggulangan Bencana","gi2023110400004"
"i2023110600085","Badan Keamanan Laut","gi2023110400004"
"i2023110600086","Badan Nasional Pencarian Dan Pertolongan","gi2023110400004"
"i2023110600087","Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","gi2023110400004"
"i2023110600088","Badan Perlindungan Pekerja Migran Indonesia","gi2023110400004"
"i2023110600089","Lembaga Ilmu Pengetahuan Indonesia","gi2023110400004"
"i2023110600090","Perpustakaan Nasional RI","gi2023110400004"
"i2023110600091","Badan Meteorologi, Klimatologi dan Geofisika","gi2023110400004"
"i2023110600092","Badan Nasional Penanggulangan Terorisme","gi2023110400004"
