id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600136,Pemerintah Kab. Batubara,1.53,1.53,1.53
i2023110600352,Pemerintah Kab. Dairi,1.42,1.42,1.42
i2023110600131,Pemerintah Kab. Deli Serdang,2.27,2.47,2.63
i2023110600356,Pemerintah Kab. Humbang Hasundutan,1.7,1.73,1.73
i2023110600350,Pemerintah Kab. Karo,1.7,1.61,1.61
i2023110600137,Pemerintah Kab. Labuhanbatu Selatan,1.72,1.72,2.93
i2023110600138,Pemerintah Kab. Labuhanbatu Utara,1.93,2.09,1.72
i2023110600132,Pemerintah Kab. Langkat,2.24,2.14,2.09
i2023110600019,Pemerintah Kab. Mandailing Natal,1.7,2.14,2.14
i2023110600533,Pemerintah Kab. Nias,1.46,1.46,1.46
i2023110600536,Pemerintah Kab. Nias Barat,1.32,1.15,1.15
i2023110600534,Pemerintah Kab. Nias Selatan,1.17,1.17,1.17
i2023110600535,Pemerintah Kab. Padang Lawas,1.22,1.37,1.37
i2023110600135,Pemerintah Kab. Padang Lawas Utara,1.15,1.15,1.15
i2023110600134,Pemerintah Kab. Pakpak Bharat,3.19,3.05,3.05
i2023110600020,Pemerintah Kab. Samosir,1.46,2.49,3.31
i2023110600357,Pemerintah Kab. Serdang Bedagai,2.29,2.29,2.29
i2023110600532,Pemerintah Kab. Simalungun,1.31,1.31,1.31
i2023110600018,Pemerintah Kab. Tapanuli Selatan,1.81,2.75,2.68
i2023110600351,Pemerintah Kab. Tapanuli Tengah,1.57,1.5,2.68
i2023110600353,Pemerintah Kab. Tapanuli Utara,1.34,2.75,1.5
i2023110600686,Pemerintah Kab. Toba Samosir,1.43,1.59,1.59
i2023110600140,Pemerintah Kota Binjai,2.49,2.63,2.63
i2023110600361,Pemerintah Kota Gunung Sitoli,1.55,1.98,1.98
i2023110600139,Pemerintah Kota Medan,2.14,2.57,3.13
i2023110600359,Pemerintah Kota Pematang Siantar,2.05,1.98,1.41
i2023110600360,Pemerintah Kota Sibolga,1.4,1.4,1.4
i2023110600141,Pemerintah Kota Tanjung Balai,2.05,2.42,2.39
i2023110600358,Pemerintah Kota Tebing Tinggi,2.27,2.67,2.72
i2023110600362,Pemerintah Provinsi Riau,3.02,3.51,3.51
i2023110600538,Pemerintah Kab. Bengkalis,1.81,1.81,1.81
i2023110600539,Pemerintah Kab. Indragiri Hilir,1.75,1.75,1.75
i2023110600021,Pemerintah Kab. Indragiri Hulu,2.13,1.95,1.95
i2023110600363,Pemerintah Kab. Kampar,1.86,2.93,2.93
i2023110600365,Pemerintah Kab. Kepulauan Meranti,2,1.83,1.83
i2023110600022,Pemerintah Kab. Kuantan Singingi,1.58,2.35,2.92
i2023110600143,Pemerintah Kab. Pelalawan,1.59,1.59,1.59
i2023110600540,Pemerintah Kab. Rokan Hilir,1.64,1.64,1.64
i2023110600144,Pemerintah Kab. Rokan Hulu,1.56,2.13,2.13
i2023110600364,Pemerintah Kab. Siak,1.71,1.61,1.61
i2023110600145,Pemerintah Kota Dumai,2.13,2.54,2.25
i2023110600366,Pemerintah Kota Pekanbaru,1.91,1.88,1.88
i2023110600146,Pemerintah Provinsi Sumatera Barat,2.65,3.1,3.1
i2023110600147,Pemerintah Kab. Agam,2.11,2.11,2.11
i2023110600541,Pemerintah Kab. Kep. Mentawai,1.97,1.97,1.97
i2023110600148,Pemerintah Kab. Limapuluh Kota,2.4,2.8,3.17
i2023110600150,Pemerintah Kab. Padang Pariaman,1.19,1.41,1.41
i2023110600153,Pemerintah Kab. Pasaman Barat,1.87,1.82,1.9
i2023110600151,Pemerintah Kab. Pesisir Selatan,2.59,3.34,3.34
i2023110600152,Pemerintah Kab. Sijunjung,1.46,2.04,2.04
i2023110600149,Pemerintah Kab. Solok,2.02,2.78,3.5
