id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600494,Pemerintah Kab. Maluku Barat Daya,1.54,1.54,1.28
i2023110600589,Pemerintah Kab. Maluku Tengah,1.56,1.56,1.33
i2023110600590,Pemerintah Kab. Maluku Tenggara,1.33,1.33,1.54
i2023110600688,Pemerintah Kab. Maluku Tenggara Barat,1.68,1.68,1.56
i2023110600302,Pemerintah Kab. Seram Bagian Barat,1.10,1.1,1.1
i2023110600593,Pemerintah Kab. Seram Bagian Timur,1.33,1.33,1.33
i2023110600303,Pemerintah Kota Ambon,2.93,2.72,2.72
i2023110600595,Pemerintah Kota Tual,1.62,1.62,1.62
i2023110600495,Pemerintah Provinsi Maluku Utara,1.00,1,1
i2023110600596,Pemerintah Kab. Halmahera Barat,1.91,1.91,1.91
i2023110600689,Pemerintah Kab. Halmahera Tengah,1.00,1,1
i2023110600690,Pemerintah Kab. Halmahera Timur,1.70,1.7,1.7
i2023110600496,Pemerintah Kab. Halmahera Utara,1.00,1,1
i2023110600691,Pemerintah Kab. Kepulauan Sula,1.48,1.48,1.48
i2023110600600,Pemerintah Kota Ternate,1.38,1.38,1.38
i2023110600497,Pemerintah Kota Tidore Kepulauan,1.64,1.64,1.64
i2023110600501,Pemerintah Provinsi Papua Barat,1.18,1.18,1.18
i2023110600512,Pemerintah Kab. Fak-Fak,1.00,1.47,1.47
i2023110600513,Pemerintah Kab. Kaimana,1.37,1.37,1.37
