id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600192,Pemerintah Kab. Subang,2.82,3,2.6,1.27,3.44
i2023110600028,Pemerintah Kab. Bandung,3.48,4,3.1,2.36,3.95
i2023110600029,Pemerintah Kab. Sumedang,4.14,5,3.6,2.55,4.76
i2023110600193,Pemerintah Kab. Garut,3.29,4,3.1,2.09,3.63
i2023110600401,Pemerintah Kab. Tasikmalaya,3.01,3.1,1.8,1,4.37
i2023110600030,Pemerintah Kab. Ciamis,3.09,3,2.7,1.36,3.95
i2023110600194,Pemerintah Kab. Cirebon,3.07,3.2,2.4,2.09,3.75
i2023110600031,Pemerintah Kab. Kuningan,3.39,2.9,3.1,2.82,3.9
i2023110600195,Pemerintah Kab. Indramayu,3.53,4.1,3.4,2.64,3.75
i2023110600196,Pemerintah Kab. Majalengka,2.89,3.2,2.7,1.55,3.39
i2023110600197,Pemerintah Kab. Bandung Barat,3.32,3.2,2.9,1.64,4.19
i2023110600402,Pemerintah Kab. Pangandaran,3.53,4.9,2.8,1.73,4.2
i2023110600032,Pemerintah Kota Bandung,3.98,4.5,3.8,3.09,4.26
i2023110600198,Pemerintah Kota Bogor,3.72,3.7,3.4,2.91,4.2
i2023110600033,Pemerintah Kota Sukabumi,2.98,2.6,2.5,2,3.7
i2023110600199,Pemerintah Kota Cirebon,3.55,4.1,3.4,2.82,3.75
i2023110600200,Pemerintah Kota Bekasi,3.01,3.3,2.4,1.27,3.9
i2023110600201,Pemerintah Kota Depok,3.7,4.8,3.8,2.18,3.88
