id,instansi,index_2023,domain1,domain2,domain3,domain4
i2023110600146,Pemerintah Provinsi Sumatera Barat,3.75,3.4,3.8,2.55,4.26
i2023110600147,Pemerintah Kab. Agam,2.55,1.9,1.6,1,3.82
i2023110600367,Pemerintah Kab. Pasaman,2.38,1.7,2.3,1,3.13
i2023110600148,Pemerintah Kab. Limapuluh Kota,3.29,3.3,2.9,1.36,4.2
i2023110600149,Pemerintah Kab. Solok,3.49,4.2,3,2.18,4.02
i2023110600150,Pemerintah Kab. Padang Pariaman,2.62,2.2,3,1,3.12
i2023110600151,Pemerintah Kab. Pesisir Selatan,4.17,4.4,3.7,3.09,4.76
i2023110600368,Pemerintah Kab. Tanah Datar,3.22,3,2.9,1,4.26
i2023110600152,Pemerintah Kab. Sijunjung,2.18,1.5,1.9,1.18,2.88
i2023110600541,Pemerintah Kab. Kep. Mentawai,1.53,1,1.2,1,2.06
i2023110600369,Pemerintah Kab. Solok Selatan,2.98,3.7,2.3,2.18,3.45
i2023110600370,Pemerintah Kab. Dharmasraya,2.83,3.1,2.1,2.18,3.38
i2023110600153,Pemerintah Kab. Pasaman Barat,2.82,3.3,2.5,2.36,3.02
i2023110600154,Pemerintah Kota Bukittinggi,2.49,1.5,1.7,1.18,3.68
i2023110600155,Pemerintah Kota Padang Panjang,2.92,2.9,2.4,2.82,3.26
i2023110600156,Pemerintah Kota Sawahlunto,3.09,3.5,2.9,2.27,3.37
i2023110600371,Pemerintah Kota Solok,3.37,3.1,3,1,4.51
i2023110600157,Pemerintah Kota Padang,3.54,4.9,2.9,2,4.07
i2023110600158,Pemerintah Kota Payakumbuh,3.17,2.9,3.2,2.09,3.62
i2023110600159,Pemerintah Kota Pariaman,2.65,3.6,1.7,1.18,3.43
i2023110600160,Pemerintah Provinsi Jambi,3.31,2.8,2.7,1.82,4.32
i2023110600161,Pemerintah Kab. Batang Hari,3.11,3.9,2.7,1,3.87
i2023110600372,Pemerintah Kab. Tanjung Jabung Barat,1.71,1.4,1.1,1,2.4
i2023110600373,Pemerintah Kab. Bungo,1.95,1.3,1,1,3.01
i2023110600374,Pemerintah Kab. Merangin,2.37,3.1,1.8,1.27,2.87
i2023110600375,Pemerintah Kab. Kerinci,1.95,1,1.4,1,2.87
i2023110600376,Pemerintah Kab. Sarolangun,2.91,3.5,2.7,1.27,3.44
i2023110600377,Pemerintah Kab. Tebo,2.62,2.7,1.6,1,3.75
i2023110600162,Pemerintah Kab. Muaro Jambi,2.13,1.8,1.8,1,2.82
i2023110600378,Pemerintah Kab. Tanjung Jabung Timur,2.81,3.1,2.1,1,3.76
i2023110600163,Pemerintah Kota Jambi,4.27,5,4,2.91,4.69
i2023110600379,Pemerintah Kota Sungai Penuh,2.38,2.6,1,1,3.58
i2023110600023,Pemerintah Provinsi Sumatera Selatan,2.62,2.7,2,1.09,3.48
i2023110600164,Pemerintah Kab. Musi Banyuasin,2.85,2.9,2.4,1,3.75
i2023110600165,Pemerintah Kab. Ogan Komering Ulu,2.67,2.4,2,1.09,3.69
i2023110600024,Pemerintah Kab. Muara Enim,3,3.7,2.7,1.18,3.63
i2023110600380,Pemerintah Kab. Lahat,2.23,1.7,1.8,1,3.06
i2023110600166,Pemerintah Kab. Musi Rawas,2.64,3.1,1.6,1,3.68
i2023110600167,Pemerintah Kab. Ogan Komering Ilir,3.04,3,2.7,2,3.62
i2023110600168,Pemerintah Kab. Banyuasin,1.05,2.4,1.7,1.09,1.3
i2023110600542,Pemerintah Kab. Ogan Komering Ulu Timur,2.96,4.4,2.8,1.09,3.31
i2023110600169,Pemerintah Kab. Ogan Komering Ulu Sel.,2.31,1.9,1.5,1.09,3.31
i2023110600381,Pemerintah Kab. Ogan Ilir,2.91,3.4,2.8,1.45,3.37
i2023110600170,Pemerintah Kab. Empat Lawang,1.97,1.5,2,1,2.43
i2023110600382,Pemerintah Kab. Musi Rawas Utara,2.35,2.9,1.2,1,3.31
i2023110600171,Pemerintah Kota Palembang,2.66,2.9,2.1,1,3.51
